"","ROW_NAMES","SARS.CoV2_E","SARS.CoV2_M","SARS.CoV2_N","SARS.CoV2_nsp1","SARS.CoV2_nsp2","SARS.CoV2_nsp4","SARS.CoV2_nsp5","SARS.CoV2_nsp5_C145A","SARS.CoV2_nsp6","SARS.CoV2_nsp7","SARS.CoV2_nsp8","SARS.CoV2_nsp9","SARS.CoV2_nsp10","SARS.CoV2_nsp11","SARS.CoV2_nsp12","SARS.CoV2_nsp13","SARS.CoV2_nsp14","SARS.CoV2_nsp15","SARS.CoV2_orf3a","SARS.CoV2_orf3b","SARS.CoV2_orf6","SARS.CoV2_orf7a","SARS.CoV2_orf8","SARS.CoV2_orf9b","SARS.CoV2_orf9c","SARS.CoV2_orf10","SARS.CoV2_Spike","clusterNum","tsne1","tsne2"
"586","PDIA3",0,0,0,0,0,27.49615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.19365,0,0,0,0,5,31.1318707222653,-48.4692828643416
"587","PPP2R1A",0,0.2787218,0,0,0,0,0,0,0.4364893,0,0.2374021,0,0,3.302599,4.151351,-0.2958911,8.820113,0,0,0,0,0.3536613,0,0,-0.4771097,0,0,4,-34.7794322382112,-13.6052939162068
"588","PPP2R1B",0,3.161095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3204202,0,0,0.4566627,0,0,2,25.0366048080454,12.2293897778644
"589","NMT1",3.278194,0,0,0,0.3043355,0,0,0,0.4140757,0,0,3.451093,0.9697224,7.121908,0,-0.04405724,0,3.209695,0,0,1.669116,0,0,2.524419,0,0,0.6371309,1,-12.1583191474218,-16.2649351533137
"590","HMOX2",0,0,0,0,0,0,0,0,0,3.346699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,39.760836030236,-9.20955704845031
"591","TSPO",1.368945,0.150547,0,0,0,0.7866518,0,0,0.09864547,0.8102112,0,0,0,0,0,0,0,0,0.7780553,0,0,0.07131223,0,0,0.3271909,0.9385519,0,1,-7.8051395642597,-5.67778026387566
"592","SLC7A1",0,5.523937,0,0,0,0.3642269,0,0,2.940501,0.9792632,0,0,0,0,0,0,0,0,0,0,0,-0.1367478,0,0,1.812355,0,0,2,28.4285126779646,16.723623220614
"593","ALDH1B1",0,16.52847,0,0,0,5.124257,0,0,3.055007,0.1155482,-2.293177,0,0,0.06020386,10.12768,0,0,0,-0.644468,0.7866538,0,6.675512,-1.110929,-0.5455039,-0.6366716,1.992169,0,2,37.0812869723698,15.5579380066211
"594","POLR2B",0,0,0,0,0,0,0,0,0,0,0.3382307,0,0,0,0,0,0,0,0,0,0,0,1.433533,0,0,0,0,5,19.2901321353797,-20.0816487403303
"595","SDHA",54.82757,-0.963978,0,2.328893,1.691107,1.053531,0,0,0,1.664833,0,0,0,0,3.801546,-1.340516,0,0,0,2.00772,0,0,0.4955439,0,0,0.1571883,1.485401,1,-17.4151159162433,-9.39258629916745
"596","MAT2A",0,0,0,0,0,0,0,0,0,0,4.260581,24.42877,0,2.611584,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-38.5433511987111,-27.389593498704
"597","PRKAR2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0891,0,0,0,0,0,0,0,0,0,0,0,4,-29.3681206756894,-40.0564553137977
"598","DNAJA1",4.104436,-1.580631,0,0,0,0.8212794,0,0,0.139507,5.019047,-8.570434,0,0,19.12062,15.27682,-6.234447,0,0,0,0,3.6035,15.96904,10.31556,7.435362,-0.1324894,24.17501,0,5,19.7401169948527,-34.6690993669204
"599","UQCRC1",0,-0.3120899,0,0,6.768995,0,0,0,0,0,-0.4628292,0,0,0,0,0,0,0,0,0,0.2849427,0,0,0,11.07819,0,0,2,37.8417646874984,33.4493687883484
"600","HNRNPH3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.807543,0,0,0,0,0,0,0,0,7,-22.8828168054193,14.586495155652
"601","HNRNPH1",0,6.340309,0,0,0,0,0,0,0,0,5.044591,0,0,0,8.20431,0,0,0,7.729822,0,0,0,0,0,0,0,0,8,8.03979780964431,-50.7365382426143
"602","YWHAB",0,0.6563118,1.077488,0,0,0,0,0,0,0.4144662,0,0,0,0,0,0.1060679,0,0,0,0,0,0,0,0,0.4566627,0,0,7,-33.0339639446906,17.0090300495819
"603","PRDX2",0,1.263514,0,0,0,2.212924,0,0,0,0,0,0,0,0,0,1.313547,0,0,0,0,0,0,0,0,0,0,0,6,6.54030990937531,-8.23746930211298
"604","GK",0,0.2463931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.554894,0,0,0.1480584,0,0,6,19.3218383776275,-1.97539935520714
